# chrony 4.5 C function inventory (doxygen 1.9.8, commit 120dfb8b36b942c31ddfc0220ca1475159ac5031)
# file	n_functions	functions(comma-sep)
addrfilt.c	16	ADF_Allow,ADF_AllowAll,ADF_CreateTable,ADF_Deny,ADF_DenyAll,ADF_DestroyTable,ADF_IsAllowed,ADF_IsAnyAllowed,check_ip_in_node,close_node,get_subnet,is_any_allowed,open_node,set_subnet,set_subnet_,split_ip6
array.c	10	ARR_AppendElement,ARR_CreateInstance,ARR_DestroyInstance,ARR_GetElement,ARR_GetElements,ARR_GetNewElement,ARR_GetSize,ARR_RemoveElement,ARR_SetSize,realloc_array
client.c	90	LOG_Message,bits_to_mask,close_io,convert_addsrc_sel_options,display_gpl,format_name,free_addresses,get_addresses,get_source_name,give_help,main,open_io,open_socket,parse_source_address,parse_sources_options,print_clientlog_interval,print_freq_ppm,print_header,print_help,print_info_field,print_nanoseconds,print_report,print_seconds,print_signed_freq_ppm,print_signed_nanoseconds,print_version,process_args,process_cmd_accheck,process_cmd_activity,process_cmd_add_source,process_cmd_allowdeny,process_cmd_authdata,process_cmd_burst,process_cmd_clients,process_cmd_cmdaccheck,process_cmd_cyclelogs,process_cmd_delete,process_cmd_dfreq,process_cmd_dns,process_cmd_doffset,process_cmd_dump,process_cmd_keygen,process_cmd_local,process_cmd_makestep,process_cmd_manual,process_cmd_manual_delete,process_cmd_manual_list,process_cmd_maxdelay,process_cmd_maxdelaydevratio,process_cmd_maxdelayratio,process_cmd_maxpoll,process_cmd_maxupdateskew,process_cmd_minpoll,process_cmd_minstratum,process_cmd_ntpdata,process_cmd_offline,process_cmd_online,process_cmd_onoffline,process_cmd_polltarget,process_cmd_refresh,process_cmd_rekey,process_cmd_reload,process_cmd_reselect,process_cmd_reselectdist,process_cmd_reset,process_cmd_retries,process_cmd_rtcreport,process_cmd_selectdata,process_cmd_selectopts,process_cmd_serverstats,process_cmd_settime,process_cmd_shutdown,process_cmd_smoothing,process_cmd_smoothtime,process_cmd_sourcename,process_cmd_sources,process_cmd_sourcestats,process_cmd_timeout,process_cmd_tracking,process_cmd_trimrtc,process_cmd_waitsync,process_cmd_writertc,process_line,read_address_double,read_address_integer,read_line,read_mask_address,request_reply,signal_handler,submit_request
clientlog.c	35	CLG_DisableNtpTimestamps,CLG_Finalise,CLG_GetClientAccessReportByIndex,CLG_GetClientIndex,CLG_GetNtpMinPoll,CLG_GetNtpTxTimestamp,CLG_GetNumberOfIndices,CLG_GetServerStatsReport,CLG_Initialise,CLG_LimitServiceRate,CLG_LogServiceAccess,CLG_SaveNtpTimestamps,CLG_UndoNtpTxTimestampSlew,CLG_UpdateNtpStats,CLG_UpdateNtpTxTimestamp,check_service_number,compare_total_hits,compare_ts,expand_hashtable,find_ntp_rx_ts,get_index,get_interval,get_last_ago,get_ntp_tss,get_ntp_tx,get_record,get_ts_from_timespec,handle_slew,int64_to_ntp64,limit_response_random,ntp64_to_int64,push_ntp_tss,set_bucket_params,set_ntp_tx,update_record
cmac_gnutls.c	7	CMC_CreateInstance,CMC_DestroyInstance,CMC_GetKeyLength,CMC_Hash,deinit_gnutls,get_mac_algorithm,init_gnutls
cmac_nettle.c	4	CMC_CreateInstance,CMC_DestroyInstance,CMC_GetKeyLength,CMC_Hash
cmdmon.c	64	CAM_AddAccessRestriction,CAM_CheckAccessRestriction,CAM_Finalise,CAM_Initialise,CAM_OpenUnixSocket,convert_addsrc_select_options,convert_sd_sel_options,do_size_checks,handle_accheck,handle_activity,handle_add_source,handle_allowdeny,handle_auth_data,handle_burst,handle_client_accesses_by_index,handle_cmdaccheck,handle_cmdallowdeny,handle_cyclelogs,handle_del_source,handle_dfreq,handle_doffset,handle_dump,handle_local,handle_make_step,handle_manual,handle_manual_delete,handle_manual_list,handle_modify_makestep,handle_modify_maxdelay,handle_modify_maxdelaydevratio,handle_modify_maxdelayratio,handle_modify_maxpoll,handle_modify_maxupdateskew,handle_modify_minpoll,handle_modify_minstratum,handle_modify_polltarget,handle_modify_selectopts,handle_n_sources,handle_ntp_data,handle_ntp_source_name,handle_offline,handle_online,handle_onoffline,handle_refresh,handle_rekey,handle_reload_sources,handle_reselect,handle_reselect_distance,handle_reset_sources,handle_rtcreport,handle_select_data,handle_server_stats,handle_settime,handle_shutdown,handle_smoothing,handle_smoothtime,handle_source_data,handle_sourcestats,handle_tracking,handle_trimrtc,handle_writertc,open_socket,read_from_cmd_socket,transmit_reply
cmdparse.c	8	CPS_GetSelectOption,CPS_NormalizeLine,CPS_ParseAllowDeny,CPS_ParseKey,CPS_ParseLocal,CPS_ParseNTPSourceAdd,CPS_ParseRefid,CPS_SplitWord
conf.c	135	CNF_AddBroadcasts,CNF_AddInitSources,CNF_AddRefclocks,CNF_AddSources,CNF_AllowLocalReference,CNF_CheckReadOnlyAccess,CNF_CreateDirs,CNF_EnablePrint,CNF_Finalise,CNF_GetAcquisitionPort,CNF_GetAuthSelectMode,CNF_GetBindAcquisitionAddress,CNF_GetBindAcquisitionInterface,CNF_GetBindAddress,CNF_GetBindCommandAddress,CNF_GetBindCommandInterface,CNF_GetBindCommandPath,CNF_GetBindNtpInterface,CNF_GetClientLogLimit,CNF_GetClockPrecision,CNF_GetCombineLimit,CNF_GetCommandPort,CNF_GetCommandRateLimit,CNF_GetCorrectionTimeRatio,CNF_GetDriftFile,CNF_GetDumpDir,CNF_GetFallbackDrifts,CNF_GetHwTsInterface,CNF_GetHwTsTimeout,CNF_GetHwclockFile,CNF_GetInitSources,CNF_GetInitStepThreshold,CNF_GetKeysFile,CNF_GetLeapSecMode,CNF_GetLeapSecTimezone,CNF_GetLockMemory,CNF_GetLogBanner,CNF_GetLogChange,CNF_GetLogDir,CNF_GetLogMeasurements,CNF_GetLogRefclocks,CNF_GetLogRtc,CNF_GetLogSelection,CNF_GetLogStatistics,CNF_GetLogTempComp,CNF_GetLogTracking,CNF_GetMailOnChange,CNF_GetMakeStep,CNF_GetManualEnabled,CNF_GetMaxChange,CNF_GetMaxClockError,CNF_GetMaxDistance,CNF_GetMaxDrift,CNF_GetMaxJitter,CNF_GetMaxSamples,CNF_GetMaxSlewRate,CNF_GetMaxUpdateSkew,CNF_GetMinSamples,CNF_GetMinSources,CNF_GetNTPPort,CNF_GetNTPRateLimit,CNF_GetNoCertTimeCheck,CNF_GetNoClientLog,CNF_GetNoSystemCert,CNF_GetNtpDscp,CNF_GetNtpSigndSocket,CNF_GetNtsDumpDir,CNF_GetNtsNtpServer,CNF_GetNtsRateLimit,CNF_GetNtsRefresh,CNF_GetNtsRotate,CNF_GetNtsServerCertAndKeyFiles,CNF_GetNtsServerConnections,CNF_GetNtsServerPort,CNF_GetNtsServerProcesses,CNF_GetNtsTrustedCertsPaths,CNF_GetPidFile,CNF_GetPtpPort,CNF_GetRefresh,CNF_GetReselectDistance,CNF_GetRtcAutotrim,CNF_GetRtcDevice,CNF_GetRtcFile,CNF_GetRtcOnUtc,CNF_GetRtcSync,CNF_GetSchedPriority,CNF_GetSmooth,CNF_GetStratumWeight,CNF_GetTempComp,CNF_GetUser,CNF_Initialise,CNF_ParseLine,CNF_ReadFile,CNF_ReloadSources,CNF_SetupAccessRestrictions,check_number_of_args,command_parse_error,compare_basenames,compare_sources,get_basename,get_number_of_args,load_source_file,other_parse_error,parse_allow_deny,parse_authselectmode,parse_bindacqaddress,parse_bindaddress,parse_bindcmdaddress,parse_broadcast,parse_clientloglimit,parse_confdir,parse_double,parse_fallbackdrift,parse_hwtimestamp,parse_include,parse_initstepslew,parse_int,parse_leapsecmode,parse_local,parse_log,parse_mailonchange,parse_makestep,parse_maxchange,parse_ntsserver,parse_ntstrustedcerts,parse_null,parse_ratelimit,parse_refclock,parse_smoothtime,parse_source,parse_sourcedir,parse_string,parse_tempcomp,reload_source_dirs,search_dirs
hash_gnutls.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
hash_intmd5.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
hash_nettle.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
