# array oracle (real chrony array.c). Consumer Rust. NO Python.
OP n=0 op=GETNEW val=1 used=1 alloc=1 cmp=1 bytes=00000001
OP n=1 op=GETNEW val=2 used=2 alloc=2 cmp=1 bytes=0000000100000002
OP n=2 op=GETNEW val=3 used=3 alloc=4 cmp=1 bytes=000000010000000200000003
OP n=3 op=GETNEW val=4 used=4 alloc=4 cmp=1 bytes=00000001000000020000000300000004
OP n=4 op=GETNEW val=5 used=5 alloc=8 cmp=1 bytes=0000000100000002000000030000000400000005
OP n=5 op=GETNEW val=6 used=6 alloc=8 cmp=1 bytes=000000010000000200000003000000040000000500000006
OP n=6 op=GETNEW val=7 used=7 alloc=8 cmp=1 bytes=00000001000000020000000300000004000000050000000600000007
OP n=7 op=GETNEW val=8 used=8 alloc=8 cmp=1 bytes=0000000100000002000000030000000400000005000000060000000700000008
OP n=8 op=GETNEW val=9 used=9 alloc=16 cmp=1 bytes=000000010000000200000003000000040000000500000006000000070000000800000009
OP n=9 op=GETNEW val=10 used=10 alloc=16 cmp=1 bytes=0000000100000002000000030000000400000005000000060000000700000008000000090000000a
OP n=10 op=REMOVE idx=1 used=9 alloc=16 cmp=1 bytes=00000001000000030000000400000005000000060000000700000008000000090000000a
OP n=11 op=REMOVE idx=0 used=8 alloc=16 cmp=1 bytes=000000030000000400000005000000060000000700000008000000090000000a
OP n=12 op=REMOVE idx=7 used=7 alloc=7 cmp=1 bytes=00000003000000040000000500000006000000070000000800000009
OP n=13 op=REMOVE idx=3 used=6 alloc=7 cmp=1 bytes=000000030000000400000005000000070000000800000009
OP n=14 op=REMOVE idx=2 used=5 alloc=7 cmp=1 bytes=0000000300000004000000070000000800000009
OP n=15 op=REMOVE idx=1 used=4 alloc=7 cmp=1 bytes=00000003000000070000000800000009
OP n=16 op=APPEND val=100 used=5 alloc=7 cmp=1 bytes=0000000300000007000000080000000900000064
OP n=17 op=APPEND val=101 used=6 alloc=7 cmp=1 bytes=000000030000000700000008000000090000006400000065
OP n=18 op=APPEND val=102 used=7 alloc=7 cmp=1 bytes=00000003000000070000000800000009000000640000006500000066
OP n=19 op=APPEND val=103 used=8 alloc=14 cmp=1 bytes=0000000300000007000000080000000900000064000000650000006600000067
OP n=20 op=SETSIZE sz=100 used=100 alloc=112 cmp=0 bytes=-
OP n=21 op=SETSIZE sz=10 used=10 alloc=10 cmp=0 bytes=-
OP n=22 op=SETSIZE sz=10 used=10 alloc=10 cmp=0 bytes=-
OP n=23 op=SETSIZE sz=5 used=5 alloc=10 cmp=0 bytes=-
OP n=24 op=SETSIZE sz=0 used=0 alloc=0 cmp=1 bytes=-
