# cmdmon permission table + reply-header oracle (real candm.h). NO Python.
PERM_COUNT n=73 N_REQUEST_TYPES=73
PERM idx=0 value=0
PERM idx=1 value=2
PERM idx=2 value=2
PERM idx=3 value=2
PERM idx=4 value=2
PERM idx=5 value=2
PERM idx=6 value=2
PERM idx=7 value=2
PERM idx=8 value=2
PERM idx=9 value=2
PERM idx=10 value=0
PERM idx=11 value=2
PERM idx=12 value=2
PERM idx=13 value=2
PERM idx=14 value=0
PERM idx=15 value=0
PERM idx=16 value=2
PERM idx=17 value=2
PERM idx=18 value=2
PERM idx=19 value=2
PERM idx=20 value=2
PERM idx=21 value=2
PERM idx=22 value=2
PERM idx=23 value=2
PERM idx=24 value=2
PERM idx=25 value=2
PERM idx=26 value=2
PERM idx=27 value=2
PERM idx=28 value=2
PERM idx=29 value=2
PERM idx=30 value=2
PERM idx=31 value=2
PERM idx=32 value=2
PERM idx=33 value=0
PERM idx=34 value=0
PERM idx=35 value=0
PERM idx=36 value=2
PERM idx=37 value=2
PERM idx=38 value=2
PERM idx=39 value=2
PERM idx=40 value=2
PERM idx=41 value=0
PERM idx=42 value=2
PERM idx=43 value=2
PERM idx=44 value=0
PERM idx=45 value=2
PERM idx=46 value=2
PERM idx=47 value=2
PERM idx=48 value=2
PERM idx=49 value=2
PERM idx=50 value=2
PERM idx=51 value=0
PERM idx=52 value=2
PERM idx=53 value=2
PERM idx=54 value=2
PERM idx=55 value=2
PERM idx=56 value=2
PERM idx=57 value=2
PERM idx=58 value=2
PERM idx=59 value=2
PERM idx=60 value=2
PERM idx=61 value=2
PERM idx=62 value=2
PERM idx=63 value=2
PERM idx=64 value=2
PERM idx=65 value=0
PERM idx=66 value=2
PERM idx=67 value=2
PERM idx=68 value=2
PERM idx=69 value=2
PERM idx=70 value=2
PERM idx=71 value=2
PERM idx=72 value=2
PERMVAL OPEN=0 LOCAL=1 AUTH=2
HDR_DEFAULT command=34 sequence=3735928559 bytes=06020000002200010000000000000000deadbeef0000000000000000
HDR_BADVER command=0 sequence=1 status=18 bytes=06020000000000010012000000000000000000010000000000000000
HDROFF version=0 pkt_type=1 command=4 reply=6 status=8 sequence=16 data=28
