# Differential-oracle vectors: inputs + outputs of chrony 4.5's REAL regress.c
# (compiled from /tmp/chrony-src commit 120dfb8, gcc -O2). Section WREG ==
# RGR_WeightedRegression cases 'n x y w... | b0 b1 s2 sb0 sb1'; FBREG ==
# RGR_FindBestRegression 'n m min x y... w... | ok b0 b1 s2 sb0 sb1 best_start n_runs dof'.
# Used by regress.rs to differential-test the Rust port against the actual C.
WREG 40
14 -130.14464759189602 -0.29008023343791972 0.83683845865596729 -120.56312821463879 -0.29132565234702773 1.0730559502465371 -110.18796828219092 -0.29133675552406746 0.96917326302752116 -100.08155215749295 -0.29138915605556243 1.012132540263222 -90.939178076533693 -0.29194142849532551 0.76747660543578544 -80.086033588542747 -0.29273170023779987 1.1022473868545355 -70.909291262974023 -0.29306280453979827 0.97779809728776079 -60.93026918335115 -0.29299846168498345 0.56665082239346831 -50.222958539404907 -0.29372006748333979 0.58050846538999767 -40.997155618195777 -0.29357800407940932 1.2995914146081677 -30.224998777752496 -0.29427879028109949 1.1036144170081634 -20.211101714672868 -0.29444345714295306 0.55274160760294622 -10.152630647138045 -0.29452100458341024 1.1510094729674458 -0.8590569670013134 -0.29537169945217662 0.53852176542376895 | -0.29531017805032667 -3.6577341768805211e-05 7.5147770459016252e-08 0.00013274439973338963 1.8105939139271944e-06
7 -60.458406076376846 0.69950421804976137 1.0227041905271412 -50.880892549826854 0.69923536550428211 1.34097019869919 -40.741072619514846 0.69892408938206552 0.68209351749057701 -30.180580845420518 0.69788644438822267 1.4732980398157545 -20.849520628782606 0.69783501728744646 0.58575393982336366 -10.690374073729153 0.69694538036751374 1.1876003854764918 -0.1828005272050961 0.69609396121442446 1.1410658760635197 | 0.69640771871511375 -5.6045208581694732e-05 7.7465047044263213e-08 0.00019859449352348026 5.5335842359527345e-06
7 -60.604870965046878 0.25530310779647708 1.2735259405180703 -50.810290557999195 0.25611664353055363 1.2052903497436418 -40.105624416925238 0.25624616759694313 0.93449568592405574 -30.546402862482484 0.25695408198167979 0.88067265172107856 -20.820758553730641 0.25659203280385612 1.2111508805303035 -10.589515841050138 0.25678012818743923 1.0096574435523686 -0.91323184653900191 0.2576415440782846 1.0632459355952837 | 0.25747814116740381 3.0733210283522588e-05 1.1221618361170469e-07 0.00023306741428647144 6.5701376381949348e-06
9 -80.955034688392175 -0.13200755580600732 1.4589981957604752 -70.320689279464332 -0.13222570443353368 0.91242377131191421 -60.606699290235852 -0.13229005597066845 1.2102111583722952 -50.78029458084778 -0.13267650128180281 1.2861782051158004 -40.264425254668758 -0.13192565003528339 0.78410343320317433 -30.924299716928942 -0.13220776972450846 0.86138767998991062 -20.066559060126128 -0.13269466195216811 1.4447475058766359 -10.400087727331176 -0.13223188116277801 0.50641698998077511 -0.73776154399302218 -0.13315862650010515 1.3353161766984285 | -0.13253435153012227 -5.7062068175341374e-06 1.1691159883122781e-07 0.00020448367200460744 4.5542111555526139e-06
7 -60.457016728800824 0.099911790998374536 0.97407729532299447 -50.147099240383675 0.098668057180444538 1.0390880663138695 -40.936462807950683 0.098533073281917613 1.0721292900596953 -30.213430650678351 0.098614741840383616 0.86939342222645877 -20.810450627563629 0.09791758221169973 0.62739199802454337 -10.586427194270714 0.098075411995006093 1.4888451263841076 -0.87507523397909459 0.098021920210876884 1.2972992819384057 | 0.097607513901389276 -2.91504655953569e-05 1.6062317919767722e-07 0.00029732624242294141 8.1110751417215862e-06
3 -20.021371749213536 -0.018859488505029991 0.74337047821304647 -10.014638188399841 -0.019134951365657057 1.4575136078480386 -0.10522713661557914 -0.019660196635642644 0.99524752114599968 | -0.01963086934410796 -3.9765906525809635e-05 8.399749225315886e-09 8.6163274369734338e-05 6.0884409198662232e-06
13 -120.73318177221421 -0.15186080716529968 1.331971534486611 -110.30187112436253 -0.15293365494517805 0.79310754815103057 -100.99564515272745 -0.15355693892803327 1.3066297108674942 -90.998826627462563 -0.15444063509807868 1.1536903239074068 -80.256479526081165 -0.15457367114842185 0.52546146836352803 -70.450736141379551 -0.15486947965682948 0.84412490058520118 -60.548152228821181 -0.15544606779778522 0.92996526200047336 -50.655228752524039 -0.15634458726788716 0.80840452040647981 -40.180055386494494 -0.15665048399116718 1.4486097195090228 -30.930862727189076 -0.15751054148966781 0.98997737122947871 -20.352290125969006 -0.15856249896477351 0.59655103194298009 -10.333163389579196 -0.15879894544584888 0.91672124820406553 -0.99187691691741831 -0.15993751080270921 0.91500994178935924 | -0.15959891394272313 -6.2376418709367729e-05 9.094191722518511e-08 0.0001585241140658287 2.2993724814671882e-06
14 -130.21888274715255 0.29490498423550643 1.3307998036436204 -120.26523592812489 0.29613148870062339 0.92908290772332947 -110.60257618102712 0.29645744026571602 1.0786431657272568 -100.21027271144601 0.29626624000341006 1.383662977744426 -90.027006092618009 0.29675956716810908 1.3300296886686434 -80.88111286878582 0.29664117281060509 0.72696210950085749 -70.98249608600527 0.29690829680726361 1.1982424522904389 -60.794272945213272 0.29762391988424058 0.88502111287527585 -50.159272882847674 0.29760582994809848 0.80341387555288146 -40.073479226626304 0.29847632454919509 0.62650037902544842 -30.845916196119514 0.29898978575078783 1.0971009954829138 -20.661924468872702 0.29868941909651803 1.4696632639862766 -10.907334620767594 0.29890532623465138 1.3184487376918024 -0.97712647505807659 0.30000064232239004 1.2204382671408567 | 0.29959596730295879 3.2549518936382163e-05 1.2692926682751659e-07 0.00019000638783930825 2.5180169422932794e-06
11 -100.10588016830374 0.65732763759193058 1.3474382778239091 -90.630726011218584 0.65726618749466148 0.85466939901094385 -80.536653508033325 0.6563877579285976 0.75095833019507863 -70.697047222244549 0.65618909930608438 1.044430656805035 -60.25817165569331 0.65561559754172383 0.69079157090707843 -50.292830572829736 0.65529613713215007 0.96701251813826283 -40.782862977896883 0.65566690889257784 1.0255894117695219 -30.10098161284624 0.65490187618345808 0.53475107177575887 -20.256598647297789 0.65429452828473433 0.94410713090334908 -10.471517452162821 0.65385403184239321 0.74281382183902289 -0.82175431376018804 0.65410332080355638 1.3501924010818129 | 0.65371952272318679 -3.5588988387499625e-05 7.4045882503531053e-08 0.00015897920822253121 2.7537910940415494e-06
14 -130.11185208808939 -0.26646234750110614 1.4965087036698073 -120.88991390537296 -0.26660432783660937 1.0131838146951528 -110.53438077555001 -0.26699018115898099 1.2392337003571194 -100.19639865001223 -0.26693636212769323 0.83062676048810569 -90.627133314487011 -0.2667161770009574 0.68376513848475173 -80.946414640665083 -0.26631747040492332 0.54703704186314084 -70.906833830550056 -0.26668484542507709 1.1850862922490779 -60.651840880577538 -0.26676571497052148 0.93147637867717537 -50.269637529412172 -0.26652218773140612 0.92701059837774225 -40.587905949209201 -0.26633171428659014 0.73730972424948804 -30.667908287186265 -0.26650035427563379 1.0546067776052175 -20.5514143739695 -0.26686407891909603 0.8923157919928798 -10.605259290953564 -0.26658942287823595 1.4944725253133386 -0.87451019333765312 -0.26598689920836549 1.3599400700819289 | -0.26642516102038877 2.438052033207047e-06 6.4802896426218622e-08 0.00014174833437843358 1.8555489620381432e-06
